name,year,rating,genre,description
The Guilty,2021,6.3,"Crime, Drama, Thriller",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
In the Heights,2021,7.3,"Drama, Musical, Romance","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life."
Bohemian Rhapsody,2018,8.0,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
Troy,2004,7.3,"Drama, History","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
The Shining,1980,8.4,"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Courier,2020,7.2,"Drama, History, Thriller",Businessman Greville Wynne is asked by a Russian source try to help put an end to the Cuban Missile Crisis.
The Outsiders,1983,7.1,"Crime, Drama","The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other."
Out of Africa,1985,7.2,"Biography, Drama, Romance","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
10 Things I Hate About You,1999,7.3,"Comedy, Drama, Romance","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
Nymphomaniac: Vol. I,2013,6.9,Drama,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
Unfaithful,2002,6.7,"Drama, Romance, Thriller",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
After,I 2019,5.4,"Drama, Romance",A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
The Little Things,2021,6.3,"Crime, Drama, Mystery","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
The Big Short,2015,7.8,"Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is."
Ford v Ferrari,2019,8.1,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Her,2013,8.0,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The King,I 2019,7.3,"Biography, Drama, History","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life."
Call Me by Your Name,2017,7.9,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Zodiac,2007,7.7,"Crime, Drama, Mystery","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
